i_simul,gen,strategy,n_ind,fitness_relative
2,45,switching,1.0,13.98877625496067
2,45,storage,99.0,44.91817153842378
2,46,matching,1.0,7.581907302625446
2,46,switching,0.0,0.0
2,46,storage,99.0,46.14024223391023
2,47,matching,0.0,0.0
2,47,switching,0.0,0.0
2,47,storage,100.0,47.34660366314714
2,48,matching,1.0,7.500162675027636
2,48,switching,0.0,0.0
2,48,storage,99.0,46.27100270459151
2,49,matching,1.0,7.39887298473435
2,49,switching,1.0,9.148438400819959
2,49,storage,98.0,44.98151402985601
2,50,matching,0.0,0.0
2,50,switching,0.0,0.0
2,50,storage,100.0,44.89251098525097
2,51,matching,1.0,6.763893817656452
2,51,switching,3.0,6.208317823456813
2,51,storage,96.0,44.61755226766226
2,52,matching,1.0,7.0798321224310525
2,52,switching,2.0,6.24360941313288
2,52,storage,97.0,45.26001457602727
2,53,matching,1.0,8.307268835286518
2,53,switching,1.0,10.920780878752256
2,53,storage,98.0,45.890945531679904
2,54,matching,1.0,6.267238547946308
2,54,switching,1.0,3.485994296960587
2,54,storage,98.0,45.5993416484282
2,55,matching,0.0,0.0
2,55,switching,0.0,0.0
2,55,storage,100.0,46.3993556979825
2,56,matching,0.0,0.0
2,56,switching,0.0,0.0
2,56,storage,100.0,45.28610204774034
2,57,matching,0.0,0.0
2,57,switching,0.0,0.0
2,57,storage,100.0,44.87494343075474
2,58,matching,0.0,0.0
2,58,switching,0.0,0.0
2,58,storage,100.0,45.74203823211419
2,59,matching,1.0,7.68459002691814
2,59,switching,0.0,0.0
2,59,storage,99.0,45.4921731503102
2,60,matching,1.0,7.828903920470714
2,60,switching,2.0,6.088525374124706
2,60,storage,97.0,46.55881682308444
2,61,matching,0.0,0.0
2,61,switching,1.0,5.4739641897667255
2,61,storage,99.0,45.424155794241635
2,62,matching,0.0,0.0
2,62,switching,2.0,11.309406110111956
2,62,storage,98.0,46.83205410334835
2,63,matching,1.0,7.782415268417223
2,63,switching,1.0,10.40114275028808
2,63,storage,98.0,47.276144831147725
2,64,matching,1.0,7.437145071282867
2,64,switching,1.0,4.082370683375258
2,64,storage,98.0,44.777784859139615
2,65,matching,1.0,6.974841599229929
2,65,switching,1.0,2.3157700808369692
2,65,storage,98.0,45.335046383398854
2,66,matching,0.0,0.0
2,66,switching,0.0,0.0
2,66,storage,100.0,45.99256018917946
2,67,matching,1.0,7.750482933576405
2,67,switching,0.0,0.0
2,67,storage,99.0,47.05192382202341
2,68,matching,0.0,0.0
2,68,switching,0.0,0.0
2,68,storage,100.0,45.28701675353704
2,69,matching,1.0,7.405775504668594
2,69,switching,2.0,3.9838247092991805
2,69,storage,97.0,44.3056639713645
2,70,matching,1.0,7.457557807009026
2,70,switching,1.0,4.931746511895606
2,70,storage,98.0,46.49693204095086
2,71,matching,1.0,6.9109097754859885
2,71,switching,0.0,0.0
2,71,storage,99.0,46.42785775327097
2,72,matching,2.0,8.579871375746823
2,72,switching,2.0,13.765455805684262
2,72,storage,96.0,47.092093564508616
2,73,matching,0.0,0.0
2,73,switching,0.0,0.0
2,73,storage,100.0,45.86999656310941
2,74,matching,0.0,0.0
2,74,switching,1.0,10.421929152667678
2,74,storage,99.0,46.13328570790779
2,75,matching,2.0,7.233600911768779
2,75,switching,0.0,0.0
2,75,storage,98.0,44.85512641553278
2,76,matching,2.0,7.852418139255873
2,76,switching,0.0,0.0
2,76,storage,98.0,50.035524216446234
2,77,matching,1.0,6.985134157919802
2,77,switching,1.0,9.1800173684555
2,77,storage,98.0,45.7118694676462
2,78,matching,1.0,7.073384802189078
2,78,switching,1.0,7.531515563061673
2,78,storage,98.0,45.90040158704502
2,79,matching,4.0,7.386388755018443
2,79,switching,1.0,6.112467411642326
2,79,storage,95.0,44.299983415350106
2,80,matching,3.0,7.766963093143759
2,80,switching,0.0,0.0
2,80,storage,97.0,44.77014912664551
2,81,matching,0.0,0.0
2,81,switching,0.0,0.0
2,81,storage,100.0,45.46249815745964
2,82,matching,0.0,0.0
2,82,switching,0.0,0.0
2,82,storage,100.0,44.663404432879304
2,83,matching,0.0,0.0
2,83,switching,1.0,5.207381760367848
2,83,storage,99.0,44.64954428018657
2,84,matching,2.0,7.764301755789434
2,84,switching,0.0,0.0
2,84,storage,98.0,46.7748870768354
2,85,matching,0.0,0.0
2,85,switching,0.0,0.0
2,85,storage,100.0,50.8245260526933
2,86,matching,2.0,7.588035203460611
2,86,switching,0.0,0.0
2,86,storage,98.0,45.204225894673094
2,87,matching,2.0,6.28687728149958
2,87,switching,0.0,0.0
2,87,storage,98.0,44.167771789417564
2,88,matching,1.0,8.43082223195262
2,88,switching,2.0,10.986902482316317
2,88,storage,97.0,46.67587500046237
2,89,matching,1.0,6.739152120065618
2,89,switching,1.0,4.443530366842069
2,89,storage,98.0,45.82031266103517
2,90,matching,0.0,0.0
2,90,switching,1.0,4.236899046633831
2,90,storage,99.0,44.50743945006115
2,91,matching,0.0,0.0
2,91,switching,2.0,2.8854476255515893
