i_simul,year,strategy,resources,n_ind,n_predator,n_dead
5,16,alternate,4.3838808567112,87.0,334.9439629161309,1.0
5,16,switching,4.3838808567112,106.0,334.9439629161309,1.0
5,16,reversed,4.3838808567112,107.0,334.9439629161309,1.0
5,16,storage,4.3838808567112,91.0,334.9439629161309,1.0
5,17,matching,1.7372265182675048,108.0,263.93073072220966,1.0
5,17,alternate,1.7372265182675048,87.0,263.93073072220966,1.0
5,17,switching,1.7372265182675048,107.0,263.93073072220966,1.0
5,17,reversed,1.7372265182675048,107.0,263.93073072220966,1.0
5,17,storage,1.7372265182675048,91.0,263.93073072220966,1.0
5,18,matching,0.005126039332133736,108.0,54.42937531912501,500.0
5,18,alternate,0.005126039332133736,87.0,54.42937531912501,500.0
5,18,switching,0.005126039332133736,108.0,54.42937531912501,500.0
5,18,reversed,0.005126039332133736,107.0,54.42937531912501,500.0
5,18,storage,0.005126039332133736,90.0,54.42937531912501,500.0
5,19,matching,4.631467805479309,95.0,55.99805122599728,1.0
5,19,alternate,4.631467805479309,70.0,55.99805122599728,1.0
5,19,switching,4.631467805479309,66.0,55.99805122599728,1.0
5,19,reversed,4.631467805479309,154.0,55.99805122599728,1.0
5,19,storage,4.631467805479309,115.0,55.99805122599728,1.0
5,20,matching,4.002063146676199,94.0,135.4980433496664,1.0
5,20,alternate,4.002063146676199,70.0,135.4980433496664,1.0
5,20,switching,4.002063146676199,67.0,135.4980433496664,1.0
5,20,reversed,4.002063146676199,154.0,135.4980433496664,1.0
5,20,storage,4.002063146676199,115.0,135.4980433496664,1.0
5,21,matching,2.7565942568248816,94.0,903.4545337552817,1.0
5,21,alternate,2.7565942568248816,71.0,903.4545337552817,1.0
5,21,switching,2.7565942568248816,67.0,903.4545337552817,1.0
5,21,reversed,2.7565942568248816,153.0,903.4545337552817,1.0
5,21,storage,2.7565942568248816,115.0,903.4545337552817,1.0
5,22,matching,3.542048235093126,94.0,294.7633763889488,1.0
5,22,alternate,3.542048235093126,70.0,294.7633763889488,1.0
5,22,switching,3.542048235093126,67.0,294.7633763889488,1.0
5,22,reversed,3.542048235093126,154.0,294.7633763889488,1.0
5,22,storage,3.542048235093126,115.0,294.7633763889488,1.0
5,23,matching,2.537314163242005,93.0,168.96763359180966,1.0
5,23,alternate,2.537314163242005,70.0,168.96763359180966,1.0
5,23,switching,2.537314163242005,67.0,168.96763359180966,1.0
5,23,reversed,2.537314163242005,155.0,168.96763359180966,1.0
5,23,storage,2.537314163242005,115.0,168.96763359180966,1.0
5,24,matching,1.6031780203844397,92.0,230.44847555122521,2.0
5,24,alternate,1.6031780203844397,70.0,230.44847555122521,2.0
5,24,switching,1.6031780203844397,67.0,230.44847555122521,2.0
5,24,reversed,1.6031780203844397,155.0,230.44847555122521,2.0
5,24,storage,1.6031780203844397,116.0,230.44847555122521,2.0
5,25,matching,2.742022125832438,92.0,82.53409222751533,1.0
5,25,alternate,2.742022125832438,70.0,82.53409222751533,1.0
5,25,switching,2.742022125832438,67.0,82.53409222751533,1.0
5,25,reversed,2.742022125832438,155.0,82.53409222751533,1.0
5,25,storage,2.742022125832438,116.0,82.53409222751533,1.0
5,26,matching,2.971821117958427,92.0,119.73387122037718,1.0
5,26,alternate,2.971821117958427,70.0,119.73387122037718,1.0
5,26,switching,2.971821117958427,67.0,119.73387122037718,1.0
5,26,reversed,2.971821117958427,156.0,119.73387122037718,1.0
5,26,storage,2.971821117958427,115.0,119.73387122037718,1.0
5,27,matching,3.7851648035882572,92.0,152.76384582218236,1.0
5,27,alternate,3.7851648035882572,70.0,152.76384582218236,1.0
5,27,switching,3.7851648035882572,67.0,152.76384582218236,1.0
5,27,reversed,3.7851648035882572,157.0,152.76384582218236,1.0
5,27,storage,3.7851648035882572,114.0,152.76384582218236,1.0
5,28,matching,2.3359632823197662,93.0,720.4608314096452,1.0
5,28,alternate,2.3359632823197662,69.0,720.4608314096452,1.0
5,28,switching,2.3359632823197662,67.0,720.4608314096452,1.0
5,28,reversed,2.3359632823197662,157.0,720.4608314096452,1.0
5,28,storage,2.3359632823197662,114.0,720.4608314096452,1.0
5,29,matching,3.183718798600789,93.0,178.84285547210146,1.0
5,29,alternate,3.183718798600789,69.0,178.84285547210146,1.0
5,29,switching,3.183718798600789,67.0,178.84285547210146,1.0
5,29,reversed,3.183718798600789,158.0,178.84285547210146,1.0
5,29,storage,3.183718798600789,113.0,178.84285547210146,1.0
5,30,matching,1.9222989292133705,93.0,178.0005009081809,1.0
5,30,alternate,1.9222989292133705,69.0,178.0005009081809,1.0
5,30,switching,1.9222989292133705,67.0,178.0005009081809,1.0
5,30,reversed,1.9222989292133705,158.0,178.0005009081809,1.0
5,30,storage,1.9222989292133705,113.0,178.0005009081809,1.0
5,31,matching,3.8008352122778466,93.0,80.05637718997772,1.0
5,31,alternate,3.8008352122778466,69.0,80.05637718997772,1.0
5,31,switching,3.8008352122778466,67.0,80.05637718997772,1.0
5,31,reversed,3.8008352122778466,157.0,80.05637718997772,1.0
5,31,storage,3.8008352122778466,114.0,80.05637718997772,1.0
5,32,matching,2.3674352360323074,92.0,676.4528670785452,1.0
5,32,alternate,2.3674352360323074,69.0,676.4528670785452,1.0
5,32,switching,2.3674352360323074,68.0,676.4528670785452,1.0
5,32,reversed,2.3674352360323074,157.0,676.4528670785452,1.0
5,32,storage,2.3674352360323074,114.0,676.4528670785452,1.0
5,33,matching,2.734976235372396,92.0,173.57787613611336,1.0
5,33,alternate,2.734976235372396,69.0,173.57787613611336,1.0
5,33,switching,2.734976235372396,67.0,173.57787613611336,1.0
5,33,reversed,2.734976235372396,158.0,173.57787613611336,1.0
5,33,storage,2.734976235372396,114.0,173.57787613611336,1.0
5,34,matching,4.39392050360306,92.0,221.95352181422766,1.0
5,34,alternate,4.39392050360306,69.0,221.95352181422766,1.0
5,34,switching,4.39392050360306,67.0,221.95352181422766,1.0
5,34,reversed,4.39392050360306,157.0,221.95352181422766,1.0
5,34,storage,4.39392050360306,115.0,221.95352181422766,1.0
5,35,matching,1.9859360736497411,92.0,434.6984893194057,1.0
5,35,alternate,1.9859360736497411,69.0,434.6984893194057,1.0
5,35,switching,1.9859360736497411,68.0,434.6984893194057,1.0
5,35,reversed,1.9859360736497411,156.0,434.6984893194057,1.0
5,35,storage,1.9859360736497411,115.0,434.6984893194057,1.0
5,36,matching,3.131677231786612,93.0,167.69717873489927,1.0
5,36,alternate,3.131677231786612,68.0,167.69717873489927,1.0
5,36,switching,3.131677231786612,68.0,167.69717873489927,1.0
5,36,reversed,3.131677231786612,156.0,167.69717873489927,1.0
5,36,storage,3.131677231786612,115.0,167.69717873489927,1.0
5,37,matching,2.8093715509465627,93.0,146.0958868204582,1.0
5,37,alternate,2.8093715509465627,68.0,146.0958868204582,1.0
5,37,switching,2.8093715509465627,67.0,146.0958868204582,1.0
5,37,reversed,2.8093715509465627,156.0,146.0958868204582,1.0
5,37,storage,2.8093715509465627,116.0,146.0958868204582,1.0
5,38,matching,3.5772171564711943,92.0,142.3781214001468,1.0
5,38,alternate,3.5772171564711943,68.0,142.3781214001468,1.0
5,38,switching,3.5772171564711943,67.0,142.3781214001468,1.0
5,38,reversed,3.5772171564711943,157.0,142.3781214001468,1.0
5,38,storage,3.5772171564711943,116.0,142.3781214001468,1.0
5,39,matching,4.049048475290542,92.0,417.42660619678554,1.0
5,39,alternate,4.049048475290542,68.0,417.42660619678554,1.0
5,39,switching,4.049048475290542,67.0,417.42660619678554,1.0
5,39,reversed,4.049048475290542,157.0,417.42660619678554,1.0
5,39,storage,4.049048475290542,116.0,417.42660619678554,1.0
5,40,matching,2.274845672721846,92.0,463.06418249463445,1.0
5,40,alternate,2.274845672721846,68.0,463.06418249463445,1.0
5,40,switching,2.274845672721846,68.0,463.06418249463445,1.0
5,40,reversed,2.274845672721846,156.0,463.06418249463445,1.0
5,40,storage,2.274845672721846,116.0,463.06418249463445,1.0
5,41,matching,3.068114272407543,93.0,125.88946138935204,1.0
5,41,alternate,3.068114272407543,67.0,125.88946138935204,1.0
5,41,switching,3.068114272407543,68.0,125.88946138935204,1.0
5,41,reversed,3.068114272407543,156.0,125.88946138935204,1.0
5,41,storage,3.068114272407543,116.0,125.88946138935204,1.0
5,42,matching,4.030429739692549,93.0,126.76815199378339,1.0
5,42,alternate,4.030429739692549,67.0,126.76815199378339,1.0
5,42,switching,4.030429739692549,69.0,126.76815199378339,1.0
5,42,reversed,4.030429739692549,156.0,126.76815199378339,1.0
5,42,storage,4.030429739692549,115.0,126.76815199378339,1.0
5,43,matching,3.762910646828176,93.0,385.0844377527694,1.0
5,43,alternate,3.762910646828176,66.0,385.0844377527694,1.0
5,43,switching,3.762910646828176,70.0,385.0844377527694,1.0
5,43,reversed,3.762910646828176,156.0,385.0844377527694,1.0
5,43,storage,3.762910646828176,115.0,385.0844377527694,1.0
5,44,matching,3.934381275211392,93.0,182.38609841958805,1.0
5,44,alternate,3.934381275211392,66.0,182.38609841958805,1.0
5,44,switching,3.934381275211392,70.0,182.38609841958805,1.0
5,44,reversed,3.934381275211392,155.0,182.38609841958805,1.0
5,44,storage,3.934381275211392,116.0,182.38609841958805,1.0
5,45,matching,2.4991312862719823,92.0,711.7177460811353,1.0
5,45,alternate,2.4991312862719823,67.0,711.7177460811353,1.0
5,45,switching,2.4991312862719823,70.0,711.7177460811353,1.0
5,45,reversed,2.4991312862719823,155.0,711.7177460811353,1.0
5,45,storage,2.4991312862719823,116.0,711.7177460811353,1.0
5,46,matching,2.505025333809246,91.0,458.93206583231097,1.0
5,46,alternate,2.505025333809246,67.0,458.93206583231097,1.0
5,46,switching,2.505025333809246,70.0,458.93206583231097,1.0
5,46,reversed,2.505025333809246,156.0,458.93206583231097,1.0
5,46,storage,2.505025333809246,116.0,458.93206583231097,1.0
5,47,matching,3.029428534651017,91.0,147.36573976599934,1.0
5,47,alternate,3.029428534651017,67.0,147.36573976599934,1.0
5,47,switching,3.029428534651017,70.0,147.36573976599934,1.0
5,47,reversed,3.029428534651017,157.0,147.36573976599934,1.0
5,47,storage,3.029428534651017,115.0,147.36573976599934,1.0
5,48,matching,1.3246652740365108,91.0,124.57547845567484,19.0
5,48,alternate,1.3246652740365108,67.0,124.57547845567484,19.0
5,48,switching,1.3246652740365108,70.0,124.57547845567484,19.0
5,48,reversed,1.3246652740365108,156.0,124.57547845567484,19.0
5,48,storage,1.3246652740365108,116.0,124.57547845567484,19.0
5,49,matching,3.840491853694282,88.0,63.385409466395416,1.0
5,49,alternate,3.840491853694282,71.0,63.385409466395416,1.0
5,49,switching,3.840491853694282,71.0,63.385409466395416,1.0
5,49,reversed,3.840491853694282,157.0,63.385409466395416,1.0
5,49,storage,3.840491853694282,113.0,63.385409466395416,1.0
5,50,matching,2.450665231109478,88.0,656.7241798985069,1.0
5,50,alternate,2.450665231109478,71.0,656.7241798985069,1.0
5,50,switching,2.450665231109478,71.0,656.7241798985069,1.0
5,50,reversed,2.450665231109478,157.0,656.7241798985069,1.0
5,50,storage,2.450665231109478,113.0,656.7241798985069,1.0
5,51,matching,3.6881443938310667,88.0,178.4743509568679,1.0
5,51,alternate,3.6881443938310667,70.0,178.4743509568679,1.0
5,51,switching,3.6881443938310667,71.0,178.4743509568679,1.0
5,51,reversed,3.6881443938310667,158.0,178.4743509568679,1.0
5,51,storage,3.6881443938310667,113.0,178.4743509568679,1.0
5,52,matching,3.6807726677639594,88.0,131.04988034390533,1.0
5,52,alternate,3.6807726677639594,69.0,131.04988034390533,1.0
5,52,switching,3.6807726677639594,71.0,131.04988034390533,1.0
5,52,reversed,3.6807726677639594,158.0,131.04988034390533,1.0
5,52,storage,3.6807726677639594,114.0,131.04988034390533,1.0
5,53,matching,2.9401683543787054,88.0,760.7025980937029,1.0
5,53,alternate,2.9401683543787054,69.0,760.7025980937029,1.0
5,53,switching,2.9401683543787054,72.0,760.7025980937029,1.0
